Time,Alpha_L1,Alpha_L2,Alpha_R1,Alpha_R2,AVz,Ay,Bk_Stat,Fx_L1,Fx_L2,Fx_R1,Fx_R2,Fy_L1,Fy_L2,Fy_R1,Fy_R2,Fz_L1,Fz_L2,Fz_R1,Fz_R2,GearStat,Lat_Targ,Lat_Veh,Pitch,PitchGL1,PitchGL2,PitchGR1,PitchGR2,PitchO1,Roll,RollGL1,RollGL2,RollGR1,RollGR2,RollO_1,Roll_E,Roll_L1,Roll_L2,Roll_R1,Roll_R2,Rot_L1,Rot_L2,Rot_R1,Rot_R2,Station,Steer_L1,Steer_R1,Steer_SW,VisO_1,Vx,VxTarget,Vxz_Fwd,Xctc_L1,Xctc_L2,Xctc_R1,Xctc_R2,Xo,X_L1,X_L2,X_Obj_1,X_R1,X_R2,Yaw,YawO_1,Yaw_L1,Yaw_L2,Yaw_R1,Yaw_R2,Yctc_L1,Yctc_L2,Yctc_R1,Yctc_R2,Yo,Y_L1,Y_L2,Y_Obj_1,Y_R1,Y_R2,Zgnd_L1,Zgnd_L2,Zgnd_R1,Zgnd_R2,Zo,Z_L1,Z_L2,Z_Obj_1,Z_R1,Z_R2
3.325, 2.759079207421, 1.315725867995, 2.986274095804, 1.264830439663, -5.338923617145, -0.5254665106946, 0, 307.8824216886, -42.65710444912, 350.6388800754, -1.942730318234, -3560.229907999, -1396.962936512, -2177.038722572, -551.807146508, 5773.837614603, 3847.439503865, 3238.414862269, 1538.066108574, 6, 3.499765642182, 3.606220195809, 0.04987418430548, -0, -0, -0, -0, -0, -2.345559620695, 0, 0, 0, 0, 0, -2.345560509826, -1.947170085082, -1.429827305061, -1.798674872496, -1.721827870198, 54.44231280152, 54.15756354891, 54.40467837851, 54.1642795874, 110.5217240407, -2.263474498564, -2.4839082269, -46.12792849735, 1, 120.1115895864, 120, 120.1126721755, 110.5188420556, 107.6087736413, 110.5238270829, 107.6176302911, 110.5217240407, 110.5191888264, 107.6087697823, 127.2040396207, 110.5241959648, 107.6176150277, 0.3912458535618, 0, -1.87178616882, 0.02772078011198, -2.092207605317, 0.08866563880071, 4.445081451356, 4.428033363211, 2.77141236751, 2.752472820315, 3.606220195809, 4.455692406903, 4.436009309529, 2.990840249475, 2.781509827478, 2.762336079123, 5.551115123126e-17, -0, -0, -0, -0.007783144650086, 0.31227541201, 0.3195443566268, 0, 0.3217577499363, 0.3281127328401
3.35, 3.038342431675, 1.317424136386, 3.290798694554, 1.275295272788, -6.86858186245, -0.5468434746983, 0, 306.143832709, -44.38541606701, 352.2207478869, 1.518449131475, -3824.726366006, -1400.376915207, -2240.44444342, -536.7457984631, 5845.664420007, 3892.93988581, 3175.587105388, 1485.043275245, 6, 3.499367666622, 3.617021014274, 0.05263854454315, -0, -0, -0, -0, -0, -2.363322514885, 0, 0, 0, 0, 0, -2.363323512819, -1.948122689964, -1.454149057223, -1.78728754639, -1.73042352061, 54.8530723742, 54.56680240438, 54.81434000031, 54.57157666179, 111.3556751772, -2.672826420952, -2.916721563326, -53.84351129195, 1, 120.1018023645, 120, 120.1030278189, 111.355500424, 108.4449103802, 111.354928201, 108.4493448354, 111.3556751772, 111.3559510599, 108.4449276889, 128.0366512632, 111.3553975578, 108.449356657, 0.238889827747, 0, -2.433621944757, -0.1223240544009, -2.677461774484, -0.06828956124474, 4.455969857455, 4.446557280126, 2.782391600824, 2.771052091843, 3.617021014274, 4.466572987058, 4.454664544611, 2.835436520529, 2.792428191252, 2.780970553932, -0, -0, -0, -0, -0.00762060646142, 0.3120073798916, 0.3193712192215, 0, 0.3219940696321, 0.3283090056047
3.375, 3.351141642275, 1.362729117322, 3.634307140026, 1.330513737689, -8.582358280512, -0.5700921712062, 0, 308.1879698608, -45.46611617852, 359.2132624715, 4.187259113664, -4077.118672557, -1449.706124563, -2283.272150232, -534.226834575, 5934.438557415, 3953.02796727, 3100.36031554, 1419.578242776, 6, 3.499042065624, 3.623598429669, 0.0560366486354, -0, -0, -0, -0, -0, -2.395239648477, 0, 0, 0, 0, 0, -2.395240794705, -1.962226216725, -1.489449669114, -1.786368245441, -1.749684857185, 55.26404703398, 54.97628877004, 55.2238872239, 54.97857180068, 112.1895566918, -3.089793932912, -3.362522287578, -61.68396108609, 1, 120.0882566055, 120, 120.0896522079, 112.192694887, 109.2816157202, 112.1853472678, 109.2804214247, 112.1895566918, 112.1932619044, 109.2816613003, 128.868675054, 112.1859287412, 109.2804683908, 0.04572388288021, 0, -3.04387531321, -0.3147128913376, -3.316496515271, -0.2681237626629, 4.462623167796, 4.462933971389, 2.789185991009, 2.787507127845, 3.623598429669, 4.47328626316, 4.471232068186, 2.661889384052, 2.799220300253, 2.797543313768, -5.551115123126e-17, -0, -0, -5.551115123126e-17, -0.007488066259749, 0.3116737055468, 0.3191420301073, 0, 0.3222747913618, 0.3285498113436
3.4, 3.692394752829, 1.450055560311, 4.011170857502, 1.429112182826, -10.39457372045, -0.5951676688482, 0, 316.9210607588, -45.95989874184, 369.9704448115, 6.087798114658, -4323.277928988, -1542.164817244, -2305.956815835, -539.7324814627, 6030.401955022, 4020.370437632, 3021.703512184, 1349.103579676, 6, 3.498904294989, 3.625760804727, 0.06009130106299, -0, -0, -0, -0, -0, -2.43947847794, 0, 0, 0, 0, 0, -2.439479820419, -1.98806975208, -1.533915276982, -1.79462755388, -1.777552031881, 55.67526450101, 55.38603237776, 55.63337244247, 55.38521961619, 113.0233251073, -3.503158016309, -3.809602891898, -69.44643210258, 1, 120.0711733791, 120, 120.0727624057, 113.0304198737, 110.1189189599, 113.0150071648, 110.1107882862, 113.0233251073, 113.0311162576, 110.1190013638, 129.7000976636, 113.0157123736, 110.1108799063, -0.1917568340658, 0, -3.694831021647, -0.5529190300736, -4.001106424891, -0.5144440088456, 4.464838801677, 4.477142590347, 2.791608863412, 2.80183263513, 3.625760804727, 4.475622659333, 4.485681362771, 2.472108600902, 2.801691020947, 2.812036473461, -0, -0, -5.551115123126e-17, -0, -0.007382670360746, 0.3113110005612, 0.3188843061586, 0, 0.3225666906955, 0.3288077297095
3.425, 4.056733026667, 1.575229723953, 4.415165921436, 1.567028968775, -12.21740285922, -0.6211227583098, 0, 331.0470100219, -45.83097181016, 383.7788291356, 7.248810810518, -4547.634280485, -1676.30709955, -2310.448217944, -554.2397031471, 6124.32779879, 4089.661027676, 2945.799473223, 1278.945559088, 6, 3.499069676449, 3.623352877114, 0.06476477786103, -0, -0, -0, -0, -0, -2.49345091266, 0, 0, 0, 0, 0, -2.493452506622, -2.023478296661, -1.585577021379, -1.810278393009, -1.811818444446, 56.08673353269, 55.79602797336, 56.04286951061, 55.79149145948, 113.8569347332, -3.903728583556, -4.247910199733, -76.96245568675, 1, 120.050697709, 120, 120.0524973323, 113.8686388178, 110.9568206215, 113.8438574502, 110.9404088783, 113.8569347332, 113.8694776024, 110.9569496238, 130.530892696, 113.844697553, 110.9405557539, -0.4749342549505, 0, -4.378680461286, -0.8380883866643, -4.722618780179, -0.8084823406673, 4.462450491903, 4.489086260652, 2.789509594913, 2.813949559282, 3.623352877114, 4.473404756655, 4.497904857307, 2.268119376672, 2.799678801819, 2.824357694933, -0, -5.551115123126e-17, -0, -0, -0.007298334139935, 0.3109540118269, 0.3186180290569, 0, 0.3228470005753, 0.3290632209179
3.45, 4.433980458755, 1.731856681556, 4.834618136841, 1.737873529256, -13.96272772904, -0.6468632919865, 0, 350.7337154911, -45.1160001347, 400.8038356606, 7.686628779561, -4738.356823249, -1847.561558351, -2299.744643179, -574.8587470904, 6208.85588855, 4157.800805033, 2875.201060453, 1211.381341017, 6, 3.499653331856, 3.616255165046, 0.06999085020269, -0, -0, -0, -0, -0, -2.554667397862, 0, 0, 0, 0, 0, -2.55466930521, -2.066486089255, -1.642675683519, -1.832088888013, -1.850497269429, 56.4984571358, 56.20625594999, 56.45247828127, 56.19737362406, 114.6903382958, -4.279819127013, -4.664269175736, -84.01231184293, 1, 120.0270103773, 120, 120.029025497, 114.7072785154, 111.7952913476, 114.6718831766, 111.7692823299, 114.6903382958, 114.7082715432, 111.7954776217, 131.3610362815, 114.6728678371, 111.7694957028, -0.8029741815031, 0, -5.082899815589, -1.169083228165, -5.467022357307, -1.149136789278, 4.455326835599, 4.498589574414, 2.782770568643, 2.823702295263, 3.616255165046, 4.46649112497, 4.507717443086, 2.053471379613, 2.793058723084, 2.834339607543, -0, -5.551115123126e-17, -0, -0, -0.00722752044518, 0.3106304793825, 0.3183549332327, 0, 0.323106385189, 0.3293080928037
3.475, 4.810585193229, 1.913352145813, 5.254007770841, 1.934965348816, -15.56118638056, -0.6701050536464, 0, 375.7132160741, -43.92120101327, 420.2227174877, 7.553916916979, -4890.6618197, -2034.07071146, -2276.688510798, -591.7759564852, 6279.996031168, 4223.123820936, 2810.464467065, 1147.506621658, 6, 3.500746307453, 3.604385399838, 0.07570224437705, -0, -0, -0, -0, -0, -2.62097770166, 0, 0, 0, 0, 0, -2.620979990993, -2.115529002329, -1.703290231286, -1.859455319342, -1.891747375082, 56.91043223624, 56.61668402065, 56.86231606876, 56.60286664259, 115.5234888857, -4.618237652994, -5.043461269086, -90.34970812525, 1, 120.0003668256, 120, 120.0025924258, 115.5462345579, 112.6342742334, 115.4991026127, 112.5974404062, 115.5234888857, 115.5473914012, 112.6345289069, 132.1905156115, 115.5002392697, 112.5977316437, -1.172987937535, 0, -5.791402262393, -1.542763408682, -6.216207657912, -1.533265004155, 4.443374085897, 4.505412546458, 2.771308555995, 2.830869604205, 3.604385399838, 4.454780019764, 4.514868431736, 1.832758522234, 2.781744166127, 2.841750109699, -0, 5.551115123126e-17, -0, 5.551115123126e-17, -0.007163459155944, 0.3103555043024, 0.3181014615859, 0, 0.3233428391597, 0.3295385561904
3.5, 5.1737366383, 2.114194816307, 5.658396304407, 2.15258951094, -16.97272075334, -0.6925861114082, 0, 404.9966846753, -42.05826214593, 442.3790294942, 6.951862941053, -5005.126280794, -2250.739471469, -2246.030840083, -610.4111880314, 6336.722935478, 4282.886785532, 2752.611051894, 1089.226062529, 6, 3.502120423961, 3.587697905166, 0.08182468378916, -0, -0, -0, -0, -0, -2.69021016081, 0, 0, 0, 0, 0, -2.69021290617, -2.168967117602, -1.766286787797, -1.891708785298, -1.934129819913, 57.32265328199, 57.02727305311, 57.2725167914, 57.00798372433, 116.3563420751, -4.907992360138, -5.372325217305, -95.75587354493, 1, 119.971093919, 120, 119.9735223611, 116.385389777, 113.473696491, 116.3255515185, 113.424934538, 116.3563420751, 116.386717223, 113.4740308495, 133.019331292, 116.3268451506, 113.4253147025, -1.580854453668, 0, -6.489067338204, -1.954772872423, -6.952890702391, -1.956449790581, 4.426536738596, 4.509282757169, 2.755075725872, 2.835200674798, 3.587697905166, 4.438207381478, 4.519079239707, 1.610570967214, 2.765683611718, 2.846329686659, -5.551115123126e-17, -5.551115123126e-17, -0, -5.551115123126e-17, -0.007101821341886, 0.3101331608514, 0.3178679786375, 0, 0.3235526319777, 0.3297477555779
3.525, 5.509016840377, 2.325295212103, 6.031101418717, 2.38138955555, -18.13992057662, -0.7113922912914, 0, 434.150715851, -39.77492583682, 464.3729191924, 6.063115498209, -5085.784720699, -2455.953536495, -2211.81497463, -622.3162576808, 6381.286351412, 4338.919554192, 2701.846650406, 1036.742684897, 6, 3.503320257549, 3.566175297679, 0.0883139118216, -0, -0, -0, -0, -0, -2.760773790046, 0, 0, 0, 0, 0, -2.760777072136, -2.225708774009, -1.829846695378, -1.928735816076, -1.976378792631, 57.73510625199, 57.43797556351, 57.6832046849, 57.41274738697, 117.1888576077, -5.13859709873, -5.638191233823, -100.0441883963, 1, 119.9394913652, 120, 119.9421074794, 117.2246111402, 114.3134636298, 117.1512893611, 114.2518366568, 117.1888576077, 117.2261126021, 114.3138884608, 133.8474836465, 117.1527423135, 114.2523159863, -2.021037154044, 0, -7.159861952954, -2.39927411017, -7.658862987668, -2.412885535976, 4.404790182027, 4.509895049619, 2.734050023199, 2.836402027352, 3.566175297679, 4.416742809953, 4.520034278287, 1.391476970187, 2.744854709277, 2.847777337407, -0, -0, -0, -0, -0.007041098061426, 0.3099552205171, 0.3176479383186, 0, 0.3237349704452, 0.3299351717958
3.55, 5.803853795504, 2.544675290626, 6.357434378721, 2.618990735845, -19.0895069051, -0.7275534382141, 0, 457.6481843731, -37.56723130424, 483.0723402061, 5.265552194173, -5143.862301426, -2644.090362341, -2177.961067444, -634.3052009671, 6416.653796367, 4387.326132922, 2658.783112954, 990.7763270127, 6, 3.503886608891, 3.539823527923, 0.0951637802702, -0, -0, -0, -0, -0, -2.830983448645, 0, 0, 0, 0, 0, -2.83098735669, -2.28449715579, -1.892261658238, -1.970223659416, -2.017564670066, 58.14773094806, 57.84873959019, 58.09442460661, 57.81718534543, 118.0209981175, -5.301772247273, -5.830693296071, -103.0391241493, 1, 119.9054156939, 120, 119.908208754, 118.0637679858, 115.1534769604, 117.9763787755, 115.078218898, 118.0209981175, 118.0654431416, 115.1540021769, 134.674916, 117.9779906345, 115.078806513, -2.487761498884, 0, -7.789718462055, -2.870399702482, -8.317980074711, -2.896495121435, 4.378135516635, 4.506953001907, 2.708230939765, 2.834186262765, 3.539823527923, 4.390380793858, 4.517428026396, 1.180037074011, 2.719255610636, 2.845800013582, 5.551115123126e-17, -0, -0, -0, -0.006982830545906, 0.3098108337828, 0.317456171956, 0, 0.3238875813351, 0.330098312329
